# material: cobalt 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1878.13 3.732255e+06
1881.47 3.732281e+06
1884.81 3.732307e+06
1888.15 3.732333e+06
1891.49 3.732358e+06
1894.82 3.732384e+06
1898.16 3.732409e+06
1901.50 3.732434e+06
1904.84 3.732459e+06
1908.18 3.732484e+06
1911.52 3.732509e+06
1914.86 3.732534e+06
1918.20 3.732558e+06
1921.54 3.732583e+06
1924.87 3.732607e+06
1928.21 3.732631e+06
1931.55 3.732655e+06
1934.89 3.732679e+06
1938.23 3.732703e+06
1941.57 3.732727e+06
1944.91 3.732750e+06
1948.25 3.732774e+06
1951.59 3.732797e+06
1954.92 3.732820e+06
1958.26 3.732843e+06
1961.60 3.732866e+06
1964.94 3.732889e+06
1968.28 3.732912e+06
1971.62 3.732934e+06
1974.96 3.732957e+06
1978.30 3.732979e+06
1981.64 3.733002e+06
1984.97 3.733024e+06
1988.31 3.733046e+06
1991.65 3.733068e+06
1994.99 3.733090e+06
1998.33 3.733111e+06
